"No.","Time","Source","Destination","Protocol","Length","Info"
"230","23:24:29.782057","1.12.2","host","USB","29","URB_BULK in"
"231","23:24:30.155180","host","1.12.1","USB","29","URB_BULK out"
"232","23:24:30.274048","1.12.2","host","USB","29","URB_BULK in"
"233","23:24:30.675607","host","1.12.1","USB","29","URB_BULK out"
"234","23:24:30.766071","1.12.2","host","USB","29","URB_BULK in"
"235","23:24:31.196371","host","1.12.1","USB","29","URB_BULK out"
"236","23:24:31.340098","1.12.2","host","USB","29","URB_BULK in"
"237","23:24:31.707709","host","1.12.1","USB","29","URB_BULK out"
"238","23:24:31.832038","1.12.2","host","USB","29","URB_BULK in"
"239","23:24:32.201096","host","1.12.1","USB","29","URB_BULK out"
"240","23:24:32.323990","1.12.2","host","USB","29","URB_BULK in"
"241","23:24:32.703359","host","1.12.1","USB","29","URB_BULK out"
"242","23:24:32.815956","1.12.2","host","USB","29","URB_BULK in"
"243","23:24:33.223437","host","1.12.1","USB","29","URB_BULK out"
"244","23:24:33.308063","1.12.2","host","USB","29","URB_BULK in"
"245","23:24:33.737864","host","1.12.1","USB","29","URB_BULK out"
"246","23:24:33.881980","1.12.2","host","USB","29","URB_BULK in"
"247","23:24:34.233217","host","1.12.1","USB","29","URB_BULK out"
"248","23:24:34.385690","1.12.2","host","USB","29","URB_BULK in"
"249","23:24:35.008305","host","1.12.1","USB","29","URB_BULK out"
"250","23:24:35.122972","1.12.2","host","USB","29","URB_BULK in"
"251","23:24:35.467841","host","1.12.1","USB","29","URB_BULK out"
"252","23:24:35.614993","1.12.2","host","USB","29","URB_BULK in"
"253","23:24:35.987466","host","1.12.1","USB","29","URB_BULK out"
"254","23:24:36.106963","1.12.2","host","USB","29","URB_BULK in"
"255","23:24:36.502746","host","1.12.1","USB","29","URB_BULK out"
"256","23:24:36.599129","1.12.2","host","USB","29","URB_BULK in"
"257","23:24:37.015276","host","1.12.1","USB","29","URB_BULK out"
"258","23:24:37.173070","1.12.2","host","USB","29","URB_BULK in"
"259","23:24:37.519747","host","1.12.1","USB","29","URB_BULK out"
"260","23:24:37.664965","1.12.2","host","USB","29","URB_BULK in"
"261","23:24:38.014339","host","1.12.1","USB","29","URB_BULK out"
"262","23:24:38.157058","1.12.2","host","USB","29","URB_BULK in"
